step,episode,avg_reward,win_rate,avg_ep_len,policy_loss,value_loss,entropy
305152,11584,6.070254800000002,0.54,35.77,-0.009869393456028774,8.188563257455826,1.8783264085650444
307200,11707,6.0153555999999995,0.53,13.27,-0.017518049106001854,11.21107167005539,1.9538883194327354
309248,11767,5.675065999999999,0.5,24.38,-0.015506594209000468,6.511736333370209,2.0334186255931854
311296,11875,6.129352000000001,0.54,20.48,-0.011393598280847073,10.957854986190796,1.9313869178295135
313344,12014,6.4676656,0.57,13.13,-0.026096230751136318,11.700098693370819,1.9787873476743698
315392,12090,5.658049600000001,0.5,20.29,-0.016678463522111997,8.247835844755173,2.0671038180589676
317440,12170,5.90809,0.52,24.05,-0.018923807219834998,8.523956686258316,1.9450686573982239
319488,12255,5.6676332,0.5,26.49,-0.020650410267990083,8.143806129693985,1.8795210421085358
321536,12363,6.423608400000001,0.57,17.99,-0.014376155973877758,10.781992554664612,1.9097211435437202
323584,12465,4.9851452,0.44,20.19,-0.01943008582748007,9.810971438884735,1.9095558524131775
325632,12550,5.9804376,0.53,26.33,-0.021465381956659257,8.40556988120079,1.9566014185547829
327680,12642,6.760993199999999,0.6,25.67,-0.013036191405262798,9.71772676706314,1.9730569496750832
329728,12746,6.1192432,0.54,16.98,-0.02100144003634341,9.401107728481293,1.9166172072291374
331776,12823,5.7424364,0.51,28.79,-0.016554781090235338,8.74983835220337,2.013026252388954
333824,12903,5.872661200000001,0.52,22.46,-0.01751097128726542,7.8757182359695435,2.0316490679979324
335872,12981,5.2213172,0.46,26.37,-0.016273741493932903,7.365197986364365,1.9750816002488136
337920,13082,4.9758988,0.44,24.72,-0.022125831892481074,9.072244882583618,1.994547225534916
339968,13177,6.5704848,0.58,14.92,-0.013428099795419257,9.452492773532867,1.9401062056422234
342016,13276,4.893792800000001,0.43,24.34,-0.016686991904862225,9.306560754776001,1.9599521905183792
344064,13348,5.817210000000001,0.51,23.78,-0.019463394943159074,8.224270433187485,2.031864181160927
346112,13427,5.2149352,0.46,23.89,-0.01382286538137123,7.039995193481445,1.9980151876807213
348160,13494,5.107720800000001,0.45,26.92,-0.021132742054760456,7.405446410179138,1.8463537767529488
350208,13589,7.5226196000000005,0.67,16.53,-0.0006478650611825287,10.194273889064789,1.9924954026937485
352256,13694,5.768970400000001,0.51,23.56,-0.01721924135927111,9.918302178382874,1.95500997453928
354304,13747,5.103089199999999,0.45,28.12,-0.012655530998017639,5.5788853764534,1.8948444426059723
356352,13855,6.432108,0.57,16.28,-0.010744952713139355,11.495485603809357,1.8814153149724007
358400,13929,6.193221199999999,0.55,22.3,-0.016351230966392905,7.837109714746475,2.054688960313797
360448,14020,6.3054056,0.56,24.63,-0.016019171103835106,10.049644827842712,1.9946877211332321
362496,14073,6.6302096,0.59,30.36,-0.021686325781047344,6.00238510966301,1.7415983229875565
364544,14141,7.0027372,0.62,33.42,-0.021469008235726506,8.540159851312637,1.8720663115382195
366592,14289,6.461696400000001,0.57,10.49,-0.021868507814360783,11.857495248317719,1.9675147235393524
368640,14341,5.9834119999999995,0.53,24.55,-0.0056929479469545186,6.166321814060211,1.9853393658995628
370688,14402,6.182043200000001,0.55,40.67,-0.014750524540431798,6.897083938121796,2.0417417138814926
372736,14476,6.656992,0.59,30.97,-0.02028201229404658,7.615543305873871,2.0477180778980255
374784,14545,6.184755600000001,0.55,30.56,-0.01438320439774543,7.680475324392319,1.9565503895282745
376832,14654,7.3880172,0.66,19.67,-0.0059136548661626875,11.59721302986145,2.026994302868843
378880,14734,5.663723200000001,0.5,23.86,-0.020056090666912496,7.550471276044846,2.0634379982948303
380928,14830,5.216355599999999,0.46,24.43,-0.02077251032460481,9.448348760604858,2.124951884150505
382976,14920,7.008595199999999,0.62,22.81,-0.01893627643585205,9.168491125106812,2.04244527220726
385024,14977,6.3001388,0.56,31.93,-0.014392641111044213,6.455538243055344,2.036428138613701
387072,15073,5.412766799999999,0.48,25.79,-0.01672451465856284,9.418941766023636,2.039746008813381
389120,15160,5.9925592000000005,0.53,28.05,-0.022996842802967876,8.541616946458817,2.003792889416218
391168,15240,6.023944,0.53,23.78,-0.018655507825315,9.154729306697845,1.9482545033097267
393216,15315,7.412280799999999,0.66,25.39,-0.014058134256629273,8.1983140707016,1.949268363416195
395264,15378,5.6248288,0.5,38.28,-0.018074655323289335,6.3852806985378265,2.1322823017835617
397312,15467,6.362447600000001,0.56,18.9,-0.014731402392499149,9.694221317768097,1.9605202078819275
399360,15531,6.02172,0.53,28.37,-0.01507863326696679,6.973047077655792,1.9786433950066566
401408,15587,5.594552799999999,0.49,33.94,-0.023643767315661535,6.357043772935867,2.0866441130638123
403456,15652,5.644497200000001,0.5,35.9,-0.020173081633402035,7.520091354846954,1.886127233505249
405504,15720,6.395847600000001,0.57,27.45,-0.014681109430966899,8.562732517719269,1.8313111886382103
407552,15790,5.964951999999999,0.53,31.56,-0.019741664815228432,7.3221838772296906,1.9517368376255035
409600,15887,7.315251599999999,0.65,23.14,-0.014144425658741966,10.37123990058899,1.8515090122818947
411648,15966,7.321883600000001,0.65,25.25,-0.01810475392267108,8.15895888209343,1.8792152926325798
413696,16014,7.289396399999999,0.65,33.54,-0.01181314158020541,5.910618722438812,1.8407162725925446
415744,16102,6.8590396,0.61,34.47,-0.014957154577132314,9.77823668718338,1.9409720823168755
417792,16202,6.679384400000001,0.59,16.31,-0.02124721629661508,9.26769882440567,1.9265740886330605
419840,16321,5.8073004,0.51,15.62,-0.011861381484777667,10.149941146373749,1.8468832522630692
421888,16395,6.5401488,0.58,19.85,-0.016982001689029858,8.003725290298462,1.8685647025704384
423936,16441,6.6352404,0.59,31.92,-0.014158380101434886,6.099399358034134,1.8345813676714897
425984,16516,6.017888800000001,0.53,34.39,-0.0167676753771957,7.956724941730499,1.8971834480762482
428032,16615,7.1778836,0.64,22.28,-0.008890597469871864,11.152373611927032,1.7179141864180565
430080,16693,7.733301600000001,0.69,29.01,-0.013865777233149856,8.464650303125381,1.7269004061818123
432128,16738,7.061853600000001,0.63,36.27,-0.012858762522228062,5.909239590167999,1.9109314307570457
434176,16822,6.493236400000001,0.58,34.7,-0.01587127009406686,9.305122137069702,1.9513175785541534
436224,16864,6.8618888,0.61,32.06,-0.01300306897610426,5.149752080440521,2.0511438250541687
438272,16886,6.380210400000001,0.57,46.1,-0.011637271789368242,3.228834107518196,2.0628308057785034
440320,16931,5.9021652,0.53,52.78,-0.017477120039984584,5.511688441038132,2.013858750462532
442368,16957,6.065990800000001,0.55,62.4,-0.014814245456364006,3.7302718609571457,2.0333915427327156
